               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.016242,           0.0094168,           0.0094022,              0.9364,             0.99001,               0.995,             0.84093,           0.0086352,           0.0021027,          0.00092136,           0.0061984,           0.0061984,           0.0061984
                  98,            0.018551,           0.0095486,            0.011354,             0.94486,                   1,               0.995,             0.84271,            0.008096,            0.002114,           0.0007854,           0.0061588,           0.0061588,           0.0061588
                  99,            0.018106,           0.0093256,            0.010915,             0.95821,                   1,               0.995,             0.83434,           0.0061329,           0.0020812,          0.00069529,           0.0061192,           0.0061192,           0.0061192
                 100,            0.017636,           0.0096113,            0.012043,             0.98054,             0.98531,               0.995,             0.82726,           0.0065913,           0.0021017,          0.00057175,           0.0060796,           0.0060796,           0.0060796
                 101,            0.018661,           0.0092481,            0.011856,             0.98302,                   1,               0.995,             0.83665,           0.0080972,            0.002178,          0.00056419,             0.00604,             0.00604,             0.00604
                 102,            0.017086,           0.0092312,            0.010819,             0.97758,             0.99628,               0.995,             0.84625,           0.0070876,           0.0021142,          0.00063571,           0.0060004,           0.0060004,           0.0060004
                 103,            0.015716,            0.009023,           0.0099651,             0.97272,             0.98279,               0.995,             0.83721,            0.007852,            0.002087,          0.00085079,           0.0059608,           0.0059608,           0.0059608
                 104,            0.017556,            0.009146,            0.011076,              0.9532,             0.98623,               0.995,             0.83899,           0.0085577,           0.0022026,          0.00091102,           0.0059212,           0.0059212,           0.0059212
                 105,            0.016402,           0.0096516,           0.0091425,             0.95947,             0.99273,             0.99405,              0.8405,           0.0074171,             0.00211,          0.00091245,           0.0058816,           0.0058816,           0.0058816
                 106,            0.016902,           0.0089323,            0.010665,             0.95941,             0.99378,               0.995,             0.82612,           0.0075783,           0.0020869,          0.00066778,            0.005842,            0.005842,            0.005842
                 107,            0.018033,           0.0096508,            0.011346,             0.93153,             0.99732,               0.995,             0.81628,           0.0084206,           0.0021468,           0.0009981,           0.0058024,           0.0058024,           0.0058024
                 108,            0.015878,           0.0092026,           0.0081889,             0.96741,             0.97533,             0.99128,             0.80294,            0.006676,           0.0020976,          0.00068487,           0.0057628,           0.0057628,           0.0057628
                 109,            0.017186,           0.0093838,            0.011252,              0.9629,             0.98546,             0.99452,             0.82449,           0.0063016,           0.0021054,           0.0005214,           0.0057232,           0.0057232,           0.0057232
                 110,            0.017383,           0.0092615,            0.010804,             0.96774,                   1,               0.995,             0.84503,           0.0082896,           0.0021513,          0.00064243,           0.0056836,           0.0056836,           0.0056836
                 111,             0.01671,           0.0087717,           0.0095952,             0.96735,             0.99419,               0.995,             0.83478,           0.0066404,           0.0020414,          0.00065057,            0.005644,            0.005644,            0.005644
                 112,            0.016381,            0.009071,           0.0099468,             0.97513,             0.98444,               0.995,             0.83348,           0.0077556,           0.0021619,          0.00089532,           0.0056044,           0.0056044,           0.0056044
                 113,            0.018418,           0.0092185,            0.011105,             0.97998,             0.98641,               0.995,             0.84306,            0.006722,           0.0021139,          0.00073485,           0.0055648,           0.0055648,           0.0055648
                 114,            0.016023,           0.0086572,            0.008155,             0.97044,             0.99527,               0.995,              0.8491,           0.0084246,           0.0021222,          0.00045659,           0.0055252,           0.0055252,           0.0055252
                 115,            0.018809,             0.00929,            0.011783,             0.97007,                   1,               0.995,             0.83227,           0.0070444,           0.0021793,          0.00040512,           0.0054856,           0.0054856,           0.0054856
                 116,            0.017071,           0.0091642,            0.010707,             0.95606,                   1,               0.995,             0.81702,           0.0075942,           0.0022414,          0.00039783,            0.005446,            0.005446,            0.005446
                 117,             0.01771,           0.0089934,           0.0095062,             0.95265,                   1,               0.995,             0.84233,           0.0071147,           0.0022167,          0.00060453,           0.0054064,           0.0054064,           0.0054064
                 118,            0.017282,           0.0084554,           0.0089748,               0.946,                   1,               0.995,              0.8577,           0.0071651,           0.0020486,          0.00082485,           0.0053668,           0.0053668,           0.0053668
                 119,            0.015522,           0.0082639,            0.008262,             0.95434,             0.99955,               0.995,             0.84896,           0.0079123,           0.0020263,          0.00055069,           0.0053272,           0.0053272,           0.0053272
                 120,             0.01621,           0.0089773,           0.0091235,             0.96414,             0.95296,               0.995,             0.86745,           0.0070516,           0.0019915,          0.00084825,           0.0052876,           0.0052876,           0.0052876
                 121,            0.018087,           0.0097738,           0.0096939,              0.9141,              0.9726,             0.99043,             0.82552,           0.0072798,           0.0021532,           0.0016146,            0.005248,            0.005248,            0.005248
                 122,             0.01655,           0.0083094,            0.010152,             0.93612,             0.98174,               0.995,             0.82912,           0.0078003,           0.0020969,           0.0010203,           0.0052084,           0.0052084,           0.0052084
                 123,            0.019988,            0.009132,           0.0097015,             0.96204,                   1,               0.995,             0.84208,           0.0065932,           0.0021125,          0.00057851,           0.0051688,           0.0051688,           0.0051688
                 124,            0.016893,           0.0089861,           0.0086031,             0.96157,             0.98585,             0.99452,             0.80145,           0.0073687,           0.0022298,           0.0005821,           0.0051292,           0.0051292,           0.0051292
                 125,            0.018514,           0.0092129,            0.010079,             0.96435,             0.99663,               0.995,             0.84226,           0.0063567,           0.0020829,          0.00047059,           0.0050896,           0.0050896,           0.0050896
                 126,              0.0163,           0.0095613,           0.0093618,              0.9612,                   1,               0.995,             0.86241,           0.0067897,           0.0020192,          0.00046777,             0.00505,             0.00505,             0.00505
                 127,            0.018133,           0.0087372,           0.0095601,             0.95973,             0.99475,               0.995,             0.82262,           0.0067999,           0.0019639,          0.00046542,           0.0050104,           0.0050104,           0.0050104
                 128,             0.01641,           0.0091375,           0.0084601,             0.98332,                   1,               0.995,             0.83064,           0.0085034,           0.0020492,          0.00042267,           0.0049708,           0.0049708,           0.0049708
                 129,            0.020323,           0.0093268,            0.010661,             0.97179,             0.99292,               0.995,             0.85327,           0.0072845,           0.0019992,          0.00054569,           0.0049312,           0.0049312,           0.0049312
                 130,            0.018693,           0.0094696,            0.010404,             0.97139,                   1,               0.995,              0.8335,           0.0064597,           0.0020597,          0.00070863,           0.0048916,           0.0048916,           0.0048916
                 131,            0.015084,           0.0087457,             0.00815,             0.96707,             0.99645,               0.995,             0.81914,           0.0069928,           0.0020133,          0.00060805,            0.004852,            0.004852,            0.004852
                 132,            0.016735,           0.0089129,            0.009439,             0.98254,             0.98515,               0.995,             0.84603,           0.0063003,           0.0019439,          0.00042859,           0.0048124,           0.0048124,           0.0048124
                 133,            0.014116,           0.0087463,           0.0082414,             0.98442,             0.98448,               0.995,             0.83529,           0.0066699,           0.0020148,          0.00039603,           0.0047728,           0.0047728,           0.0047728
                 134,            0.016821,           0.0090421,           0.0087711,             0.96125,             0.99844,               0.992,             0.84598,           0.0063274,           0.0020223,          0.00066944,           0.0047332,           0.0047332,           0.0047332
                 135,             0.01547,           0.0086859,           0.0085592,              0.9872,             0.97372,               0.995,             0.81961,           0.0066602,           0.0021354,          0.00055686,           0.0046936,           0.0046936,           0.0046936
                 136,            0.016554,            0.009144,           0.0087476,             0.97372,                   1,               0.995,             0.84274,           0.0063397,           0.0020941,            0.000411,            0.004654,            0.004654,            0.004654
                 137,            0.018277,           0.0093005,           0.0089679,             0.96859,             0.99672,               0.995,             0.85353,            0.006771,           0.0019698,          0.00040616,           0.0046144,           0.0046144,           0.0046144
                 138,            0.016754,           0.0085453,            0.011186,             0.96859,                   1,               0.995,             0.83717,           0.0066938,           0.0019315,          0.00037868,           0.0045748,           0.0045748,           0.0045748
